Obs,State,Date,Total Deposits,Total Assets
342,Iowa,06/30/2021,82767.0,98109.0
343,Iowa,06/30/2022,88384.0,102484.0
344,Iowa,06/30/2023,89036.0,107651.0
345,Iowa,06/30/2024,90288.0,110322.0
346,Iowa,09/30/2019,65963.0,80750.0
347,Iowa,09/30/2020,75021.0,91061.0
348,Iowa,09/30/2021,84246.0,99467.0
349,Iowa,09/30/2022,88503.0,103656.0
350,Iowa,09/30/2023,89057.0,108080.0
351,Iowa,09/30/2024,92008.0,112198.0
352,Iowa,12/31/2019,66951.0,81789.0
353,Iowa,12/31/2020,78572.0,94507.0
354,Iowa,12/31/2021,86600.0,101727.0
355,Iowa,12/31/2022,89103.0,106178.0
356,Iowa,12/31/2023,89052.0,108722.0
357,Iowa,12/31/2024,93507.0,112311.0
358,Kansas,03/31/2019,38177.0,46678.0
359,Kansas,03/31/2020,39626.0,48948.0
360,Kansas,03/31/2021,48031.0,57058.0
361,Kansas,03/31/2022,49983.0,58360.0
362,Kansas,03/31/2023,51067.0,60207.0
363,Kansas,03/31/2024,51452.0,61369.0
364,Kansas,06/30/2019,38098.0,47087.0
365,Kansas,06/30/2020,43471.0,53514.0
366,Kansas,06/30/2021,47511.0,56726.0
367,Kansas,06/30/2022,49724.0,58018.0
368,Kansas,06/30/2023,49540.0,59268.0
369,Kansas,06/30/2024,51169.0,61480.0
370,Kansas,09/30/2019,38440.0,47484.0
371,Kansas,09/30/2020,43592.0,53363.0
372,Kansas,09/30/2021,47623.0,56915.0
373,Kansas,09/30/2022,49708.0,57895.0
374,Kansas,09/30/2023,49557.0,59139.0
375,Kansas,09/30/2024,51298.0,61658.0
376,Kansas,12/31/2019,39117.0,48152.0
377,Kansas,12/31/2020,45369.0,54487.0
378,Kansas,12/31/2021,49063.0,58150.0
379,Kansas,12/31/2022,50600.0,59297.0
380,Kansas,12/31/2023,50682.0,60731.0
381,Kansas,12/31/2024,52586.0,62341.0
382,Kentucky,03/31/2019,42678.0,52695.0
383,Kentucky,03/31/2020,43695.0,54017.0
384,Kentucky,03/31/2021,54048.0,64027.0
385,Kentucky,03/31/2022,55613.0,64899.0
386,Kentucky,03/31/2023,55605.0,65985.0
387,Kentucky,03/31/2024,57355.0,68460.0
388,Kentucky,06/30/2019,42561.0,53161.0
389,Kentucky,06/30/2020,49094.0,60029.0
390,Kentucky,06/30/2021,54224.0,64300.0
391,Kentucky,06/30/2022,55354.0,64520.0
392,Kentucky,06/30/2023,53700.0,65158.0
393,Kentucky,06/30/2024,56646.0,68443.0
394,Kentucky,09/30/2019,41906.0,52729.0
395,Kentucky,09/30/2020,49088.0,59472.0
396,Kentucky,09/30/2021,53951.0,64094.0
397,Kentucky,09/30/2022,55609.0,64941.0
398,Kentucky,09/30/2023,54787.0,65762.0
399,Kentucky,09/30/2024,57230.0,69305.0
400,Kentucky,12/31/2019,42881.0,53280.0
401,Kentucky,12/31/2020,51028.0,61360.0
402,Kentucky,12/31/2021,55400.0,65452.0
403,Kentucky,12/31/2022,55128.0,65234.0
404,Kentucky,12/31/2023,56611.0,67657.0
405,Kentucky,12/31/2024,59126.0,70602.0
406,Louisiana,03/31/2019,58252.0,71444.0
407,Louisiana,03/31/2020,59932.0,73190.0
408,Louisiana,03/31/2021,43943.0,50411.0
409,Louisiana,03/31/2022,47878.0,54269.0
410,Louisiana,03/31/2023,50065.0,58930.0
411,Louisiana,03/31/2024,51624.0,60175.0
412,Louisiana,06/30/2019,58356.0,72073.0
413,Louisiana,06/30/2020,67241.0,80391.0
414,Louisiana,06/30/2021,44116.0,50885.0
415,Louisiana,06/30/2022,47847.0,54885.0
416,Louisiana,06/30/2023,49924.0,58876.0
417,Louisiana,06/30/2024,51764.0,60539.0
418,Louisiana,09/30/2019,58030.0,70857.0
419,Louisiana,09/30/2020,39880.0,46739.0
420,Louisiana,09/30/2021,44987.0,51884.0
421,Louisiana,09/30/2022,48149.0,55372.0
422,Louisiana,09/30/2023,50193.0,58807.0
423,Louisiana,09/30/2024,52596.0,61612.0
424,Louisiana,12/31/2019,58740.0,71206.0
425,Louisiana,12/31/2020,41406.0,48621.0
426,Louisiana,12/31/2021,47488.0,54252.0
427,Louisiana,12/31/2022,49759.0,57717.0
428,Louisiana,12/31/2023,50919.0,59858.0
429,Louisiana,12/31/2024,54121.0,62664.0
430,Maine,03/31/2019,17120.0,22089.0
431,Maine,03/31/2020,18070.0,23284.0
432,Maine,03/31/2021,22383.0,27194.0
433,Maine,03/31/2022,24440.0,28874.0
434,Maine,03/31/2023,26035.0,32201.0
435,Maine,03/31/2024,25435.0,33003.0
436,Maine,06/30/2019,17269.0,22332.0
437,Maine,06/30/2020,20047.0,25214.0
438,Maine,06/30/2021,23472.0,28173.0
439,Maine,06/30/2022,24665.0,29420.0
440,Maine,06/30/2023,25203.0,32499.0
441,Maine,06/30/2024,25828.0,33509.0
442,Maine,09/30/2019,17556.0,22542.0
443,Maine,09/30/2020,20690.0,25697.0
444,Maine,09/30/2021,23702.0,28357.0
445,Maine,09/30/2022,25329.0,30210.0
446,Maine,09/30/2023,25648.0,32477.0
447,Maine,09/30/2024,27205.0,34447.0
448,Maine,12/31/2019,17932.0,22947.0
449,Maine,12/31/2020,21330.0,26074.0
450,Maine,12/31/2021,24353.0,29028.0
451,Maine,12/31/2022,26116.0,31790.0
452,Maine,12/31/2023,25486.0,32932.0
453,Maine,12/31/2024,28052.0,34665.0
454,Maryland,03/31/2019,32693.0,41171.0
455,Maryland,03/31/2020,30894.0,38455.0
456,Maryland,03/31/2021,37622.0,44674.0
457,Maryland,03/31/2022,39366.0,45592.0
458,Maryland,03/31/2023,39983.0,49473.0
459,Maryland,03/31/2024,38760.0,48082.0
460,Maryland,06/30/2019,33084.0,41398.0
461,Maryland,06/30/2020,33705.0,41938.0
462,Maryland,06/30/2021,38304.0,45568.0
463,Maryland,06/30/2022,40559.0,47142.0
464,Maryland,06/30/2023,40296.0,49677.0
465,Maryland,06/30/2024,39005.0,48196.0
466,Maryland,09/30/2019,32327.0,39794.0
467,Maryland,09/30/2020,34448.0,42370.0
468,Maryland,09/30/2021,40443.0,47548.0
469,Maryland,09/30/2022,40855.0,48373.0
470,Maryland,09/30/2023,38686.0,47715.0
471,Maryland,09/30/2024,40220.0,49032.0
472,Maryland,12/31/2019,29836.0,37005.0
473,Maryland,12/31/2020,35968.0,43552.0
474,Maryland,12/31/2021,40225.0,47239.0
475,Maryland,12/31/2022,41050.0,49066.0
476,Maryland,12/31/2023,39271.0,48044.0
477,Maryland,12/31/2024,40787.0,48819.0
478,Massachusetts,03/31/2019,294555.0,383791.0
479,Massachusetts,03/31/2020,395596.0,525383.0
480,Massachusetts,03/31/2021,410586.0,503270.0
481,Massachusetts,03/31/2022,416048.0,503784.0
482,Massachusetts,03/31/2023,388684.0,482613.0
483,Massachusetts,03/31/2024,417927.0,533893.0
484,Massachusetts,06/30/2019,302760.0,398146.0
485,Massachusetts,06/30/2020,353636.0,455134.0
486,Massachusetts,06/30/2021,430662.0,514989.0
487,Massachusetts,06/30/2022,405122.0,482490.0
488,Massachusetts,06/30/2023,386726.0,486906.0
489,Massachusetts,06/30/2024,405230.0,523369.0
490,Massachusetts,09/30/2019,304855.0,402388.0
491,Massachusetts,09/30/2020,352660.0,449911.0
492,Massachusetts,09/30/2021,420567.0,502927.0
493,Massachusetts,09/30/2022,401262.0,487865.0
494,Massachusetts,09/30/2023,375924.0,477243.0
495,Massachusetts,09/30/2024,414911.0,535022.0
