Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
39,California,09/30/2004,19084.0,68.89,11.24,57.11,9.67,159.0,1770.0,74.0,292.18,184.0,160337.0,123693.0,108857.0,13.58
40,California,12/31/2004,21091.0,68.13,11.67,57.28,9.83,215.0,2357.0,70.0,301.04,228.0,172522.0,130820.0,117189.0,13.46
41,California,03/31/2005,21878.0,67.07,12.15,57.85,9.84,30.0,645.0,60.0,296.03,55.0,179486.0,136273.0,122739.0,13.59
42,California,06/30/2005,22172.0,66.13,11.95,57.61,9.71,65.0,1358.0,54.0,329.99,100.0,182499.0,138571.0,125586.0,13.38
43,California,09/30/2005,22984.0,64.87,12.1,57.85,9.83,104.0,2119.0,54.0,333.16,161.0,191104.0,145194.0,132056.0,13.2
44,California,12/31/2005,24974.0,63.27,12.69,58.23,9.85,155.0,2846.0,79.0,296.58,236.0,207588.0,153980.0,144860.0,12.76
45,California,03/31/2006,25443.0,61.79,13.2,59.06,9.59,30.0,698.0,74.0,307.38,63.0,210989.0,155305.0,148965.0,12.79
46,California,06/30/2006,25820.0,59.99,12.86,58.73,9.64,65.0,1422.0,51.0,298.67,145.0,212287.0,155596.0,150669.0,12.74
47,California,09/30/2006,27620.0,59.25,12.2,58.28,9.83,119.0,2160.0,54.0,231.69,246.0,221249.0,161880.0,157443.0,12.66
48,California,12/31/2006,28657.0,59.39,11.64,57.96,9.94,358.0,2616.0,67.0,108.29,383.0,226183.0,166582.0,162024.0,12.51
